7023245	306036000	CW	MAWSON	28	50
7026962	NULL	TZ	JERBOA	NULL	NULL
7026974	620999545	KM	CAPTAHMED	29	49
7027502	470198000	AE	SEASHINE 1	24	54
7027526	NULL	KM	ALEX 1	NULL	NULL
7030822	NULL	RU	KALININGRAD	NULL	NULL
7030987	NULL	MD	JASMINE 1	NULL	NULL
7033161	NULL	TZ	AC SANDINO	NULL	NULL
7045803	376457000	VC	MONET	40	20
7046821	NULL	PA	SHAHD CLEOPATRA	NULL	NULL
7047203	671960000	TG	MARCO.VI	9	-80
7105419	NULL	ZZ	STARK	NULL	NULL
7105421	NULL	ZZ	AMARGI	NULL	NULL
7106994	677049300	TZ	ALMABROUKA 11	21	39
7108899	NULL	TG	SAFI	NULL	NULL
7110995	620480000	KM	YALISSA	45	28
7112357	371755000	PA	ALASKA SCOUT	9	-80
7113002	NULL	ZZ	JUPITER	NULL	NULL
7113624	620800228	KM	MARIONA	45	29
7121164	649139000	ML	LARIMAR	25	56
7125861	NULL	KN	DRAGON	NULL	NULL
7128863	NULL	KM	FATTAH	NULL	NULL
7202554	NULL	KN	ATLANTIC ENTERPRISE	NULL	NULL
7203912	NULL	KM	HANA	NULL	NULL
7205910	642122129	LY	KEVALAY QUEEN	32	15
7206512	NULL	CU	TIFON	NULL	NULL
7208106	NULL	MD	JIGAWA	NULL	NULL
7211907	630001074	GW	ABDULRAHMAN KING	38	NULL
7212482	750015000	GY	CREATIVE	29	51
7218400	511100360	PW	ONUR	41	29
7220192	NULL	ZZ	MAHYAS	NULL	NULL
7221469	671002300	TG	EVEREST 1	4	9
7221770	NULL	MN	PT PROGRESS	NULL	NULL
7228417	NULL	ZZ	DIVA	NULL	NULL
7229552	NULL	TZ	AYATT	NULL	NULL
7230666	NULL	PA	WHITE PURL	NULL	NULL
7235070	NULL	UA	LIZORI	NULL	NULL
7236141	NULL	RU	TRITON	NULL	NULL
7237511	NULL	ST	SOFIA	NULL	NULL
7300722	NULL	IR	AVASH	NULL	NULL
7302043	NULL	ZZ	SINJAB	NULL	NULL
7302964	NULL	ZZ	BOMARIS LEGEND	NULL	NULL
7303229	NULL	NG	ORION 1	NULL	NULL
7303803	445018000	KP	A S	25	120
7303994	NULL	ZZ	BTMAX 1	NULL	NULL
7305112	NULL	CM	SEFORA	NULL	NULL
7310973	NULL	MD	DANA 1	NULL	NULL
7312402	NULL	PA	NAS PATHFINDER	NULL	NULL
7321441	NULL	ZZ	JOUDI	NULL	NULL
7321647	511100607	PW	EMIRATES WESTERN2000	30	32
7324273	NULL	RU	SORMACH	NULL	NULL
7327902	629009756	GM	BAKAU	16	-24
7329144	NULL	KM	SORMOVSKIY-32	NULL	NULL
7330064	341903000	KN	POSEIDON I	57	24
7330399	NULL	ZZ	COBIJA	NULL	NULL
7332490	677082800	TZ	TORVIND	62	6
7333896	NULL	ZZ	VALENTIN I	NULL	NULL
7337543	NULL	ZZ	OSTERIA 1	NULL	NULL
7350002	671224000	TG	ABDELRAHMAN-K	19	40
7350533	NULL	TN	EL LOUD II	NULL	NULL
7359149	613003409	CM	UNITUD S	-4	-38
7359204	677021900	TZ	LABATROS	-8	40
7359278	NULL	CM	SUNNY LISA	NULL	NULL
7360057	657273200	NG	TAMARA ELMINA	4	7
7362756	613811700	CM	MV DORETTE	4	9
7366037	450612000	LB	GHAYDAA	34	35
7366427	620999554	KM	SEA SERV 501	25	55
7367342	620800313	KM	FORTUNE	26	53
7368815	620800074	KM	BRITTA-K	45	28
7371367	NULL	KM	VIRGO	NULL	NULL
7378169	422811000	IR	TAKAVAR 5	27	54
7382500	671218100	TG	ISLAND STAR	45	30
7389704	NULL	KP	RYE SONG GANG 1	NULL	NULL
7392658	NULL	ZZ	ILI	NULL	NULL
7392945	NULL	BZ	SPARKLING STAR	NULL	NULL
7392957	620999311	KM	SEA WIND	32	32
7396630	511100448	PW	TULEEN	39	26
7396654	NULL	TZ	HABIBA M	NULL	NULL
7398561	620800494	KM	SEA REGENT	25	57
7400522	457330000	MN	PERSEVERANCE 27	11	107
7404803	235004110	GB	ESPEMAR DOS	43	-8
7405091	NULL	TZ	DEALA	NULL	NULL
7406772	620723000	KM	ELENA	21	39
7406784	NULL	ZZ	EBANO	NULL	NULL
7408873	445078000	KP	SAMJONG2	38	124
7411260	NULL	KP	DOK CHON	NULL	NULL
7413634	NULL	MD	MERKUR 1	NULL	NULL
7413921	NULL	PA	HADDAD 1	NULL	NULL
7416040	NULL	KM	SKYLARK I	NULL	NULL
7416349	NULL	CN	LONG XING 603	NULL	NULL
7417197	NULL	TZ	KAISER	NULL	NULL
7417329	677073700	TZ	D. OCEANO	8	-83
7419042	NULL	ZZ	BLUEFOSS	NULL	NULL
7419200	341936001	KN	DANIA	35	36
7419377	NULL	TG	INA	NULL	NULL
7420742	273615590	RU	AJAX	70	52
7422049	NULL	LB	EL YOUSSEF	NULL	NULL
7422544	671336100	TG	ANAKIN	34	36
7423275	273915000	RU	IVAN KIREEV	65	40
7424671	659234000	NA	AMELIA	-23	15
7426100	NULL	PA	JIN HUA 8	NULL	NULL
7430761	273458910	RU	NIKITA KOZHEMYAKA	46	48
7431662	677066600	TZ	DEAN	41	19
7435565	620534000	KM	SEA WAVE	25	55
7500736	NULL	ZZ	MONARCH COUNTESS	NULL	NULL
7504122	620745000	KM	MERINOS LIVESTOCK	20	39
7504598	613445540	CM	GOLDEN RIO	-1	-49
7505994	368077920	US	MARGIE V	37	-76
7506118	NULL	KP	MAE BONG SAN	NULL	NULL
7506613	NULL	ZZ	AJAX	NULL	NULL
7508300	NULL	MD	VERACRUZ	NULL	NULL
7508336	350688000	NI	SEUN	8	77
7510676	NULL	KM	FATIMA-A	NULL	NULL
7510884	671480000	TG	ALFA WATAN	35	36
7514517	NULL	ZZ	LAROBON	NULL	NULL
7516694	613003805	CM	MILAGRO	19	40
7517844	NULL	KM	GAUTAM	NULL	NULL
7520712	671386100	TG	DANIEL 24	12	-16
7522203	NULL	TZ	MOHAMMED S	NULL	NULL
7526699	NULL	TZ	LEADER M	NULL	NULL
7528556	NULL	LB	PRINCESS M	NULL	NULL
7528788	620800186	KM	TRUT	41	29
7529330	NULL	ZZ	SERENITY I	NULL	NULL
7529445	750930000	GY	NUEVO LEON	30	49
7529641	NULL	MN	LEONARDO	NULL	NULL
7529861	NULL	ZZ	NADER	NULL	NULL
7529976	NULL	ZZ	GEROITE NA SEVASTOPOL	NULL	NULL
7534440	NULL	TH	SIAM VARICH	NULL	NULL
7600017	613464704	CM	MEYRA	23	37
7600586	NULL	MD	MANSOUR M	NULL	NULL
7601073	620303000	KM	DARLA	37	3
7602314	677040300	TZ	FARAH 1	19	37
7607467	NULL	AL	MILTON	NULL	NULL
7610098	NULL	KM	ARKAIM 7	NULL	NULL
7610270	NULL	KM	ALJAMIL	NULL	NULL
7610426	NULL	KN	CHIME	NULL	NULL
7611509	NULL	KM	SEA TRUCK	NULL	NULL
7611913	720231000	BO	TORTOLAS PRIDE	18	-65
7612448	273334100	RU	BALTIYSKIY-111	40	51
7612498	620798000	KM	TURBO-SM	47	39
7613404	613481700	CM	BARBAT	44	39
7614666	NULL	SL	KRETA X	NULL	NULL
7615012	677041700	TZ	ARMONY	43	28
7615232	NULL	ZZ	PRUVALINE	NULL	NULL
7615347	372826000	PA	RAYA	9	-80
7615414	247279300	IT	SANTA CRUZ	41	14
7615878	355380000	PA	WSI GULF PEARL	25	55
7616004	NULL	TZ	LADY GHEDA 1	NULL	NULL
7621011	671744000	TG	GLADIATOR	12	43
7622041	371446000	PA	ALJABERA	28	-15
7624647	306133000	CW	SEA BRONZE	25	55
7627534	NULL	GQ	ELOBEY XI	NULL	NULL
7628136	341547002	KN	AGULHAS	21	72
7632955	NULL	KP	MYONG SAN 1	NULL	NULL
7636339	NULL	ZZ	GOLDEN PALM	NULL	NULL
7636743	677048300	TZ	OCTOPUS S	47	38
7636755	677072400	TZ	CONSUL	47	40
7636767	NULL	PA	IRKUTSK	NULL	NULL
7636987	NULL	TZ	AMJA JT	NULL	NULL
7639642	NULL	TZ	MY ROSE	NULL	NULL
7640378	NULL	KP	KIL JU 9	NULL	NULL
7644130	NULL	CM	CERENCAN	NULL	NULL
7646750	NULL	TZ	AMR R	NULL	NULL
7700207	649333000	ML	KING M	41	19
7701768	NULL	ZZ	DENDRO	NULL	NULL
7702114	NULL	ZZ	KUWARI 1	NULL	NULL
7702920	NULL	CM	IYANU	NULL	NULL
7702994	NULL	TZ	AYA ZANOUBYA	NULL	NULL
7703015	NULL	TZ	ATHINA D	NULL	NULL
7703235	NULL	ZZ	COMMANDER	NULL	NULL
7703687	NULL	ZZ	HALA	NULL	NULL
7704617	613573600	CM	AVRASYA	41	36
7706407	NULL	ZZ	GLENN LIBERTY	NULL	NULL
7707243	306401000	CW	EGS	25	56
7710032	NULL	GR	AGIA MARINA	NULL	NULL
7711177	NULL	KM	RUTH	NULL	NULL
7712975	NULL	TZ	AL IMAN	NULL	NULL
7714272	NULL	KM	DIEGO STAR	NULL	NULL
